# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/mnt/data/gdata/human/hg38/chr21/homo_sapiens_hg38_chr21.gtf" "-o" "../03_count/siC1_chr21_counts.txt" "-R" "BAM" "siC1_chr21_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	siC1_chr21_Aligned.sortedByCoord.out.bam
ENSG00000279493	21;21;21;21	5011799;5012548;5014386;5016935	5011874;5012687;5014471;5017145	+;+;+;+	513	0
ENSG00000277117	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	5022493;5022493;5022494;5022531;5022533;5025009;5025009;5025009;5025009;5025009;5026280;5026280;5026432;5027935;5027935;5027935;5027935;5027935;5032053;5032053;5032053;5032053;5032053;5033408;5033408;5033408;5033408;5033408;5034582;5034582;5034582;5040585;5040585	5022693;5022693;5022693;5022693;5022693;5025049;5025049;5025049;5025049;5025049;5026630;5026630;5026630;5028225;5028225;5028225;5028225;5028225;5032217;5032217;5032217;5032217;5032217;5033443;5033443;5033443;5033443;5033443;5036125;5034684;5036771;5040666;5040661	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3357	14
ENSG00000279687	21;21	5073458;5087617	5073685;5087867	+;+	479	0
ENSG00000280071	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	5079294;5079294;5079684;5079684;5116341;5116341;5116937;5118691;5118691;5118691;5120634;5120634;5120636;5121449;5121711;5121711;5121711;5121711;5121711;5121711;5122013;5124486;5124756;5124756;5124756;5124756;5124756;5124756;5124756;5124756;5124756;5124756;5125025;5125879;5125879;5125879;5125879;5125879;5125879;5125879;5125879;5125879;5127084;5127898;5127898;5127898;5127898;5127898;5127898;5127898;5128214;5128214;5128214;5128214;5128214	5079296;5079296;5079734;5079734;5117231;5117231;5117231;5118847;5118847;5118847;5120889;5121111;5120889;5121803;5121803;5121803;5121803;5121803;5121803;5121803;5122200;5124875;5124875;5124875;5124875;5124875;5124868;5124875;5124875;5124875;5124875;5124875;5125178;5125992;5125992;5125992;5125992;5125992;5125992;5125992;5125992;5125992;5127143;5127927;5127950;5127950;5127950;5127950;5127927;5127927;5128378;5128413;5128273;5128372;5128425	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3106	18
ENSG00000276612	21;21;21;21;21;21;21	5116343;5118691;5121711;5124756;5125879;5133426;5133655	5117231;5118847;5121803;5124875;5125992;5133500;5133805	-;-;-;-;-;-;-	1599	0
ENSG00000275464	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	5130871;5133426;5133453;5133655;5133655;5133902;5133902;5134199;5134361;5135089;5135089;5135935;5135935;5135935;5136988;5137327;5137878;5139698;5139698;5140953;5141277;5141277;5141559;5141559;5142532;5142532;5143222;5143222;5143222;5144091;5144091;5144091;5144424;5145238;5146137;5146658;5147289;5147349;5147390;5147779;5147779;5147779;5148210;5148210;5148210;5152961;5152961;5152961;5154060;5154361;5154623	5131455;5133500;5133500;5133805;5133805;5134120;5134120;5135154;5134479;5135154;5135154;5137474;5136043;5136043;5137474;5137474;5137939;5141103;5139878;5141103;5141424;5141424;5141707;5141707;5142896;5142668;5143292;5143292;5143292;5144234;5144234;5144234;5144724;5145445;5146366;5146793;5147432;5147432;5147432;5147878;5147878;5147878;5148304;5148304;5148304;5153073;5153073;5153073;5154247;5154527;5154734	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7665	80
ENSG00000280433	21;21;21;21;21;21	5155499;5157012;5159080;5159080;5163518;5163518	5158759;5158759;5159274;5159274;5163695;5165472	-;-;-;-;-;-	5411	20
ENSG00000279669	21;21	5232668;5243703	5232924;5243833	-;-	388	0
ENSG00000279094	21;21;21;21;21;21;21;21	5499151;5499155;5499557;5499999;5500067;5502369;5502369;5502369	5499809;5499967;5500101;5500101;5500101;5502497;5502497;5502542	-;-;-;-;-;-;-;-	1125	0
ENSG00000274333	21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21	5553637;5553659;5553669;5553669;5553679;5553703;5553707;5553710;5553717;5565963;5566125;5579670;5582228;5583466;5584810;5584810;5584810;5585778;5585823;5585823;5585823;5585823;5585823;5585823;5585823;5585823;5585823;5586445;5588137;5588137;5588137;5588137;5589347;5590019;5590019;5590019;5590019;5590019;5590019;5614752	5553838;5553838;5553838;5553838;5553838;5553838;5553838;5553838;5553838;5566183;5566183;5579808;5585987;5585257;5585063;5584975;5584975;5585987;5585987;5585987;5586369;5585987;5585987;5585987;5585987;5585987;5585987;5586499;5588184;5592004;5588786;5588646;5589528;5592003;5591234;5590683;5591228;5590178;5590200;5614880	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8756	0
